arm,seed,targeting_mode,delta_aff_plateau,delta_aff_per_contact,delta_aff_per_cross_contact,delta_aff_level_none,toward_other_camp,toward_mean,toward_own_pole,delta_k,delta_bic_margin,ideo_level_toward_other_camp,ideo_level_toward_mean,ideo_level_toward_own_pole,diversity_ratio_arm,diversity_ratio_none,diversity_floor_break_even,scenario,lhs_index,affective,ideological,structural
exposure,0,distance,0.0012849533283073589,3.038576731714337e-8,8.124388772808288e-8,0.00249632356377516,-0.0026528392615146933,-0.0026374063249063476,0.0025194754001051866,0.0,-0.00471765574243347,-0.0036103738068938435,-0.003282916280190555,0.0037992128140459974,1.0030401748276232,1.001686193105469,NaN,consolidated_two_camp,4,0.48089390252091246,0.9661062054044791,0.9066717840672841
engagement,0,distance,0.0041758291634969025,6.615698928227032e-8,2.407234198130456e-7,0.00249632356377516,-0.0067771877443106796,-0.0068785612638722436,0.00646358671408607,0.0,-0.0046386825351925134,-0.0036103738068938435,-0.003282916280190555,0.0037992128140459974,1.0050400576712686,1.001686193105469,NaN,consolidated_two_camp,4,0.48089390252091246,0.9661062054044791,0.9066717840672841
composition,0,distance,-0.007410730652103847,-1.176343796962419e-7,-4.2973213407386766e-7,0.00249632356377516,-0.0073966075657030134,-0.0075212266668949895,0.007071761985611408,0.0,-0.00467073232213331,-0.0036103738068938435,-0.003282916280190555,0.0037992128140459974,1.005409447877147,1.001686193105469,1.005409447877147,consolidated_two_camp,4,0.48089390252091246,0.9661062054044791,0.9066717840672841
exposure,1,distance,0.000582767772074777,1.3444867275920569e-8,3.3314341283643576e-8,0.002312787813621986,-0.0031725138722814997,-0.0028637289247577086,0.003196600016389375,0.0,0.005799967037470752,-0.003865665107261722,-0.0035935036822116293,0.004025753767920733,1.0034455703565763,1.0018827536681605,NaN,consolidated_two_camp,4,0.48089390252091246,0.9661062054044791,0.9066717840672841
engagement,1,distance,0.004175817745643684,6.453824004518622e-8,2.055129556397305e-7,0.002312787813621986,-0.008050102488029856,-0.008449457354718285,0.007636597506250617,0.0,0.005792398131649078,-0.003865665107261722,-0.0035935036822116293,0.004025753767920733,1.0061396831794718,1.0018827536681605,NaN,consolidated_two_camp,4,0.48089390252091246,0.9661062054044791,0.9066717840672841
composition,1,distance,-0.006963828929002602,-1.0723481566064987e-7,-3.3979842534413013e-7,0.002312787813621986,-0.008036987323028714,-0.00836761100534421,0.007615202273525933,0.0,0.005801819776507344,-0.003865665107261722,-0.0035935036822116293,0.004025753767920733,1.0061312513297407,1.0018827536681605,1.0061312513297407,consolidated_two_camp,4,0.48089390252091246,0.9661062054044791,0.9066717840672841
exposure,0,camp_pair,0.0026365869584892287,5.7737588054072676e-8,1.405130547052456e-7,0.011028905317367332,-0.00841625360659328,-0.008278205657902625,0.008159399148799498,0.0,-0.0006019823498651031,-0.009814884428054399,-0.009302926615044144,0.00980980077250759,1.0103389543761283,1.0053544082845107,NaN,consolidated_two_camp,5,0.8220626578865291,0.8252463355872511,0.854053145059346
engagement,0,camp_pair,0.0023547481484604837,5.450553558771547e-8,1.5460233395446678e-7,0.011028905317367332,-0.0010595090121567514,-0.0009983634997170285,0.0010515499352053651,0.0,-0.00034941409615998203,-0.009814884428054399,-0.009302926615044144,0.00980980077250759,1.0058943152704727,1.0053544082845107,NaN,consolidated_two_camp,5,0.8220626578865291,0.8252463355872511,0.854053145059346
composition,0,camp_pair,-0.009563979769259934,-2.2094346499549364e-7,-6.244029359051991e-7,0.011028905317367332,-0.0007719957456603626,-0.000776825153855517,0.0007225174868417932,0.0,-0.0004836061102048289,-0.009814884428054399,-0.009302926615044144,0.00980980077250759,1.0057376061512016,1.0053544082845107,1.0057376061512016,consolidated_two_camp,5,0.8220626578865291,0.8252463355872511,0.854053145059346
exposure,1,camp_pair,0.0029904140213141694,6.388408505264194e-8,1.4936386900325506e-7,0.01007025982566745,-0.005996796940732562,-0.0059733029219550034,0.0056084845582479986,0.0,-0.00007945532923112758,-0.011963488213258664,-0.011043573878763901,0.011811619332854366,1.0101795261172453,1.0066572851144835,NaN,consolidated_two_camp,5,0.8220626578865291,0.8252463355872511,0.854053145059346
engagement,1,camp_pair,0.0025486135334360505,5.725548791220656e-8,1.5109162517406038e-7,0.01007025982566745,-0.001019681283998191,-0.0010738593328448124,0.0009442007677548919,0.0,-0.00003188849579401076,-0.011963488213258664,-0.011043573878763901,0.011811619332854366,1.007391687790083,1.0066572851144835,NaN,consolidated_two_camp,5,0.8220626578865291,0.8252463355872511,0.854053145059346
composition,1,camp_pair,-0.00933445638487207,-2.0910989011564035e-7,-5.414731936233001e-7,0.01007025982566745,-0.001091509291321435,-0.0011864772524604519,0.0010028462314522063,0.0,-0.000042180095985139276,-0.011963488213258664,-0.011043573878763901,0.011811619332854366,1.0074336011718754,1.0066572851144835,1.0074336011718754,consolidated_two_camp,5,0.8220626578865291,0.8252463355872511,0.854053145059346
exposure,0,distance,0.0026365869584892287,5.7737588054072676e-8,1.405130547052456e-7,0.011028905317367332,-0.00841625360659328,-0.008278205657902625,0.008159399148799498,0.0,-0.0006019823498651031,-0.009814884428054399,-0.009302926615044144,0.00980980077250759,1.0103389543761283,1.0053544082845107,NaN,consolidated_two_camp,5,0.8220626578865291,0.8252463355872511,0.854053145059346
