arm,seed,targeting_mode,intervention_tick,withdrawal_tick,n_ticks_total,peak_gap,final_gap,recovery_fraction,point,window,affective,ideological,structural
composition,1,distance,60,360,420,-0.015875522809331688,-0.009705566755298989,0.3886458498491765,cross_cut_LHS0,300,0.6713722911991205,0.5867149138882022,0.012553017635084669
composition,2,distance,60,360,420,-0.015794664277025472,-0.009008530031363149,0.42964726103949336,cross_cut_LHS0,300,0.6713722911991205,0.5867149138882022,0.012553017635084669
composition,3,distance,60,360,420,-0.015251795360565978,-0.008441313622056468,0.44653639637194686,cross_cut_LHS0,300,0.6713722911991205,0.5867149138882022,0.012553017635084669
composition,4,distance,60,360,420,-0.015439649029488578,-0.009299139893133024,0.3977104093899829,cross_cut_LHS0,300,0.6713722911991205,0.5867149138882022,0.012553017635084669
engagement,0,distance,60,360,420,0.015419205381575596,0.008662891033472508,0.43817526136438945,cross_cut_LHS4,300,0.5440782898978583,0.8640995441207491,0.2978034381535035
engagement,1,distance,60,360,420,0.015467415904941717,0.00889827147789446,0.4247085917530974,cross_cut_LHS4,300,0.5440782898978583,0.8640995441207491,0.2978034381535035
engagement,2,distance,60,360,420,0.017270977129232534,0.009703931160852886,0.4381365287996246,cross_cut_LHS4,300,0.5440782898978583,0.8640995441207491,0.2978034381535035
engagement,3,distance,60,360,420,0.016114237312216062,0.0092926706119425,0.4233254461942293,cross_cut_LHS4,300,0.5440782898978583,0.8640995441207491,0.2978034381535035
engagement,4,distance,60,360,420,0.015626908389755556,0.00883016786530133,0.434938271533602,cross_cut_LHS4,300,0.5440782898978583,0.8640995441207491,0.2978034381535035
composition,0,distance,60,360,420,-0.02060684368106558,-0.011659239795071441,0.4342054525417479,cross_cut_LHS4,300,0.5440782898978583,0.8640995441207491,0.2978034381535035
composition,1,distance,60,360,420,-0.01979132702749875,-0.011184516360730923,0.43487789650533437,cross_cut_LHS4,300,0.5440782898978583,0.8640995441207491,0.2978034381535035
composition,2,distance,60,360,420,-0.020187814847933083,-0.011363236419070999,0.43712400253985806,cross_cut_LHS4,300,0.5440782898978583,0.8640995441207491,0.2978034381535035
composition,3,distance,60,360,420,-0.01820263896440233,-0.010270693153232369,0.43575801435615635,cross_cut_LHS4,300,0.5440782898978583,0.8640995441207491,0.2978034381535035
composition,4,distance,60,360,420,-0.019421491345017028,-0.010986486217159808,0.4343129463135378,cross_cut_LHS4,300,0.5440782898978583,0.8640995441207491,0.2978034381535035
engagement,0,distance,60,1060,1120,0.10421486406811953,0.07971175779573914,0.23512103087678604,consolidated_two_camp_LHS1,1000,0.9464207024421489,0.8848701602854708,0.7318724839295598
engagement,1,distance,60,1060,1120,0.10307224523660352,0.0793263847184491,0.23038074375546513,consolidated_two_camp_LHS1,1000,0.9464207024421489,0.8848701602854708,0.7318724839295598
engagement,2,distance,60,1060,1120,0.11043463879284099,0.08284230744649745,0.24985214465275396,consolidated_two_camp_LHS1,1000,0.9464207024421489,0.8848701602854708,0.7318724839295598
engagement,3,distance,60,1060,1120,0.10235775457589069,0.07680068599246326,0.24968375565994627,consolidated_two_camp_LHS1,1000,0.9464207024421489,0.8848701602854708,0.7318724839295598
engagement,4,distance,60,1060,1120,0.10268511236078659,0.07794887529387617,0.24089409358582636,consolidated_two_camp_LHS1,1000,0.9464207024421489,0.8848701602854708,0.7318724839295598
composition,0,distance,60,1060,1120,0.03560361945899171,0.024419113363063794,0.3141395809156494,consolidated_two_camp_LHS1,1000,0.9464207024421489,0.8848701602854708,0.7318724839295598
composition,1,distance,60,1060,1120,0.04300716481474076,0.030871698575588358,0.28217312839447994,consolidated_two_camp_LHS1,1000,0.9464207024421489,0.8848701602854708,0.7318724839295598
composition,2,distance,60,1060,1120,0.036211910685914006,0.025663661554966133,0.29129225525929003,consolidated_two_camp_LHS1,1000,0.9464207024421489,0.8848701602854708,0.7318724839295598
