arm,seed,targeting_mode,delta_aff_plateau,delta_aff_per_contact,delta_aff_per_cross_contact,delta_aff_level_none,toward_other_camp,toward_mean,toward_own_pole,delta_k,delta_bic_margin,ideo_level_toward_other_camp,ideo_level_toward_mean,ideo_level_toward_own_pole,diversity_ratio_arm,diversity_ratio_none,diversity_floor_break_even,swept_dial,level,affective,ideological,structural
exposure,0,camp_pair,0.0061206311918406975,1.2081067429565359e-7,1.3933325423057498e-7,0.012867669486136712,-0.008177128452496754,-0.008084336995042022,0.007849846844084945,0.0,-0.00019030023328685947,-0.023337692330460076,-0.022611766303961674,0.02275042478666243,1.021373860446579,1.0154307049134887,NaN,affective,0.9,0.9,0.7,0.7
engagement,0,camp_pair,0.00695868009710221,1.375450683329817e-7,1.5993656708042496e-7,0.012867669486136712,-0.001537363556872267,-0.0014502353983698764,0.0015385179268770886,0.0,-0.00003997001552365903,-0.023337692330460076,-0.022611766303961674,0.02275042478666243,1.0166210618816613,1.0154307049134887,NaN,affective,0.9,0.9,0.7,0.7
composition,0,camp_pair,-0.009500591642078504,-1.880002303765411e-7,-2.1858027475160484e-7,0.012867669486136712,5.180051075491521e-6,0.00002987476683352988,-0.00001423219384311808,0.0,-0.000030025820580523166,-0.023337692330460076,-0.022611766303961674,0.02275042478666243,1.0156949455797042,1.0154307049134887,1.0156949455797042,affective,0.9,0.9,0.7,0.7
exposure,1,camp_pair,0.004239104412422812,8.126494157700352e-8,9.491948975420537e-8,0.012829542671981997,-0.004550517155821308,-0.0044673675110981255,0.004267891584716552,0.0,-0.0005920149134464592,-0.02465125464489636,-0.023376051423246284,0.023646389250172914,1.019327148014608,1.0162326534007058,NaN,affective,0.9,0.9,0.7,0.7
engagement,1,camp_pair,0.007081914405780765,1.3555459776779658e-7,1.5955288617538784e-7,0.012829542671981997,-0.001153863636107727,-0.0011534362163084892,0.0010314894258007662,0.0,-0.0001825379476459582,-0.02465125464489636,-0.023376051423246284,0.023646389250172914,1.0169197100796452,1.0162326534007058,NaN,affective,0.9,0.9,0.7,0.7
composition,1,camp_pair,-0.00993336578081383,-1.898579086546986e-7,-2.230663084326386e-7,0.012829542671981997,-0.0006550606442172861,-0.0006803138622620726,0.0005710014274023963,0.0,-0.0001512986536007649,-0.02465125464489636,-0.023376051423246284,0.023646389250172914,1.0167958781554032,1.0162326534007058,1.0167958781554032,affective,0.9,0.9,0.7,0.7
exposure,2,camp_pair,0.005566157763660762,1.087480025723031e-7,1.2644611003318405e-7,0.016042893558955384,-0.007627349231438214,-0.00749647178440329,0.007350337759645994,0.0,0.00020938902216306038,-0.02588642290737743,-0.02531716135514079,0.025215689748339213,1.02463745498705,1.0190365903113348,NaN,affective,0.9,0.9,0.7,0.7
engagement,2,camp_pair,0.007243914199332568,1.4224113337389928e-7,1.6637759708152618e-7,0.016042893558955384,-0.0010625569900190555,-0.0010580181069329182,0.0009832489951319343,0.0,-0.000013134401773987059,-0.02588642290737743,-0.02531716135514079,0.025215689748339213,1.0197733429218816,1.0190365903113348,NaN,affective,0.9,0.9,0.7,0.7
composition,2,camp_pair,-0.009506016571459774,-1.8665599614082183e-7,-2.1830328560017853e-7,0.016042893558955384,-0.0012286789142741394,-0.001230608288876476,0.0011502443923435066,0.0,-0.00005597859866854349,-0.02588642290737743,-0.02531716135514079,0.025215689748339213,1.0200120899541965,1.0190365903113348,1.0200120899541965,affective,0.9,0.9,0.7,0.7
exposure,3,camp_pair,0.005268528830129071,1.0204394402729171e-7,1.1740454217557818e-7,0.014709516658184096,-0.006927177864677378,-0.006806326947159706,0.006721201500717831,0.0,-0.0003500453009604998,-0.0347701296362232,-0.03405564165705683,0.03337061784671902,1.0317277121240573,1.0271045978264455,NaN,affective,0.9,0.9,0.7,0.7
