arm,seed,delta_aff_plateau,delta_aff_per_contact,delta_aff_per_cross_contact,toward_other_camp,toward_mean,toward_own_pole,delta_k,delta_bic_margin,ideo_level_toward_other_camp,ideo_level_toward_mean,ideo_level_toward_own_pole,swept_dial,level,affective,ideological,structural
exposure,0,-0.00003826261109463047,-1.2095024844201193e-9,-2.011175353200025e-9,NaN,NaN,NaN,0.0,-6.339990746340174e-6,NaN,NaN,NaN,ideological,0.1,0.5,0.1,0.5
engagement,0,0.0,0.0,0.0,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,ideological,0.1,0.5,0.1,0.5
composition,0,-0.0059789911584726685,-1.9428709815014846e-7,-3.37205524700957e-7,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,ideological,0.1,0.5,0.1,0.5
exposure,1,-0.00021417299666959266,-6.758804489699339e-9,-1.1424997155104698e-8,NaN,NaN,NaN,0.0,-0.000011545542735511005,NaN,NaN,NaN,ideological,0.1,0.5,0.1,0.5
engagement,1,0.0,0.0,0.0,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,ideological,0.1,0.5,0.1,0.5
composition,1,-0.005913369763831722,-1.9171864102683574e-7,-3.260749800844622e-7,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,ideological,0.1,0.5,0.1,0.5
exposure,2,0.000036091165829921223,1.1352993340648386e-9,1.9084747411517755e-9,NaN,NaN,NaN,0.0,9.034713483430101e-6,NaN,NaN,NaN,ideological,0.1,0.5,0.1,0.5
engagement,2,0.0,0.0,0.0,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,ideological,0.1,0.5,0.1,0.5
composition,2,-0.005866296676259486,-1.9246380171455007e-7,-3.248945877414425e-7,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,ideological,0.1,0.5,0.1,0.5
exposure,3,0.000015083160373019489,4.891730029519195e-10,8.291095191853281e-10,NaN,NaN,NaN,0.0,-0.0003059425031056301,NaN,NaN,NaN,ideological,0.1,0.5,0.1,0.5
engagement,3,0.0,0.0,0.0,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,ideological,0.1,0.5,0.1,0.5
composition,3,-0.0057798644141199285,-1.9327418204714693e-7,-3.3278813991938785e-7,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,ideological,0.1,0.5,0.1,0.5
