swept_dial,level,seed,arm,d_cross,bimodality0,total_contact,cross_contact,frac
structural,0.1,2,exposure,1.920180340082477,0.5946470733635675,49150.0,25224.0,0.5132044760935911
structural,0.1,3,none,1.9528564460042934,0.5688679016572068,46823.0,21885.0,0.4673985007368174
structural,0.1,3,engagement,1.9528564460042934,0.5688679016572068,54819.0,27099.0,0.49433590543424727
structural,0.1,3,composition,1.9528564460042934,0.5688679016572068,54745.0,27054.0,0.49418211708831855
structural,0.1,3,exposure,1.9528564460042934,0.5688679016572068,47984.0,22496.0,0.4688229409803268
structural,0.1,4,none,1.9765380728416226,0.5817757344222491,49469.0,24187.0,0.4889324627544523
structural,0.1,4,engagement,1.9765380728416226,0.5817757344222491,57782.0,29658.0,0.5132740299747326
structural,0.1,4,composition,1.9765380728416226,0.5817757344222491,57698.0,29798.0,0.5164477104925648
structural,0.1,4,exposure,1.9765380728416226,0.5817757344222491,49892.0,24156.0,0.4841657981239477
structural,0.5,0,none,1.9780015723196953,0.5846570223753383,43509.0,17802.0,0.40915672619458043
structural,0.5,0,engagement,1.9780015723196953,0.5846570223753383,49450.0,21672.0,0.43826086956521737
structural,0.5,0,composition,1.9780015723196953,0.5846570223753383,49569.0,21746.0,0.43870160785975104
structural,0.5,0,exposure,1.9780015723196953,0.5846570223753383,45867.0,19805.0,0.43179192011685963
structural,0.5,1,none,1.9431444820546693,0.5985586135682078,43720.0,18633.0,0.4261893870082342
structural,0.5,1,engagement,1.9431444820546693,0.5985586135682078,49940.0,22978.0,0.46011213456147376
structural,0.5,1,composition,1.9431444820546693,0.5985586135682078,49596.0,22594.0,0.4555609323332527
structural,0.5,1,exposure,1.9431444820546693,0.5985586135682078,45547.0,20215.0,0.4438272553625925
structural,0.5,2,none,1.919407751774918,0.5943648974076601,43291.0,18543.0,0.4283338338222725
structural,0.5,2,engagement,1.919407751774918,0.5943648974076601,48997.0,22553.0,0.46029348735636877
structural,0.5,2,composition,1.919407751774918,0.5943648974076601,49394.0,22934.0,0.46430740575778434
structural,0.5,2,exposure,1.919407751774918,0.5943648974076601,45672.0,20555.0,0.45005692765808375
structural,0.5,3,none,1.9523315406225974,0.5690505034407314,42464.0,16965.0,0.3995148831951771
structural,0.5,3,engagement,1.9523315406225974,0.5690505034407314,48557.0,20802.0,0.42840373169676876
structural,0.5,3,composition,1.9523315406225974,0.5690505034407314,48966.0,20898.0,0.42678593309643426
structural,0.5,3,exposure,1.9523315406225974,0.5690505034407314,44683.0,18839.0,0.4216144842557572
structural,0.5,4,none,1.9790143967205998,0.5816836697924834,44941.0,18531.0,0.41234062437417945
structural,0.5,4,engagement,1.9790143967205998,0.5816836697924834,50339.0,21950.0,0.43604362422773596
