arm,seed,targeting_mode,delta_aff_plateau,delta_aff_per_contact,delta_aff_per_cross_contact,toward_other_camp,toward_mean,toward_own_pole,delta_k,delta_bic_margin,ideo_level_toward_other_camp,ideo_level_toward_mean,ideo_level_toward_own_pole,diversity_ratio_arm,diversity_ratio_none,diversity_floor_break_even,scenario,lhs_index,affective,ideological,structural
engagement,1,distance,0.0179163476066575,2.492570515262803e-7,2.9160247402642374e-7,-0.008951667359574767,-0.009089611858923997,0.008362131351589232,0.0,-0.00005021846746577213,-0.006593146755802529,-0.005851094598657271,0.006628522634823593,1.0098916809800234,1.0040366143422437,NaN,consolidated_two_camp,3,0.6841673772176897,0.7094137261300761,0.6917234970823039
composition,1,distance,-0.011013381762441155,-1.5384611399333894e-7,-1.799395772055216e-7,-0.00869761716933929,-0.008844183933119478,0.008095145389110162,0.0,-0.00006368726207642283,-0.006593146755802529,-0.005851094598657271,0.006628522634823593,1.0095889074532953,1.0040366143422437,1.0095889074532953,consolidated_two_camp,3,0.6841673772176897,0.7094137261300761,0.6917234970823039
exposure,0,camp_pair,0.0011427718434117162,2.7044013711939518e-8,3.18604840919961e-8,-0.003989657739936429,-0.00393023998053587,0.0038622833729953,0.0,-0.0044877319807362925,-0.002824872472852277,-0.002498518335703731,0.0030224432505493743,1.0032888829934619,1.001282418528387,NaN,consolidated_two_camp,4,0.48089390252091246,0.9661062054044791,0.9066717840672841
engagement,0,camp_pair,0.00028476112505348983,7.17228232258242e-9,8.714420695091037e-9,-0.0014460161228435826,-0.0014149498567049292,0.0014026263196708771,0.0,0.00012974428530793114,-0.002824872472852277,-0.002498518335703731,0.0030224432505493743,1.0020377478695064,1.001282418528387,NaN,consolidated_two_camp,4,0.48089390252091246,0.9661062054044791,0.9066717840672841
composition,0,camp_pair,-0.010233342277923052,-2.5705456613722816e-7,-3.148236356844502e-7,-0.001741286752909014,-0.0016422142932643147,0.0017305403933273308,0.0,-0.004526017840848856,-0.002824872472852277,-0.002498518335703731,0.0030224432505493743,1.0021742837113572,1.001282418528387,1.0021742837113572,consolidated_two_camp,4,0.48089390252091246,0.9661062054044791,0.9066717840672841
exposure,1,camp_pair,0.0014898370579697895,3.4491759456632624e-8,4.106949658092925e-8,-0.003078557178522585,-0.003033790866918178,0.002990948934768521,0.0,0.0057623906247590145,-0.0036735946552546718,-0.003325092030577757,0.003871666895090117,1.003272860877478,1.0017701272019495,NaN,consolidated_two_camp,4,0.48089390252091246,0.9661062054044791,0.9066717840672841
engagement,1,camp_pair,0.0005638867459677455,1.3689894293948664e-8,1.6708250495355283e-8,-0.0010854826156788196,-0.0009468393249631147,0.0010912943267548125,0.0,0.005975276481450333,-0.0036735946552546718,-0.003325092030577757,0.003871666895090117,1.0022578071439194,1.0017701272019495,NaN,consolidated_two_camp,4,0.48089390252091246,0.9661062054044791,0.9066717840672841
composition,1,camp_pair,-0.010415751942223661,-2.5285861192036466e-7,-3.085965851571362e-7,-0.001073237903329197,-0.0009330775923072202,0.001081259991773729,0.0,0.005975141676199704,-0.0036735946552546718,-0.003325092030577757,0.003871666895090117,1.0022507886809624,1.0017701272019495,1.0022507886809624,consolidated_two_camp,4,0.48089390252091246,0.9661062054044791,0.9066717840672841
exposure,0,distance,0.0011427718434117162,2.7044013711939518e-8,3.18604840919961e-8,-0.003989657739936429,-0.00393023998053587,0.0038622833729953,0.0,-0.0044877319807362925,-0.002824872472852277,-0.002498518335703731,0.0030224432505493743,1.0032888829934619,1.001282418528387,NaN,consolidated_two_camp,4,0.48089390252091246,0.9661062054044791,0.9066717840672841
engagement,0,distance,0.006150386775321204,9.779749678514849e-8,1.1644490089214291e-7,-0.007875126729035543,-0.008039848465392782,0.00754791387420173,0.0,-0.0045791977323774505,-0.002824872472852277,-0.002498518335703731,0.0030224432505493743,1.0052244247712443,1.001282418528387,NaN,consolidated_two_camp,4,0.48089390252091246,0.9661062054044791,0.9066717840672841
